================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=length_diff, v=7, w=0.2283268767017618, v*w=1.5982881369123325
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=football, v=2, w=0.3050198125281883, v*w=0.6100396250563767
f=People, v=1, w=0.3602300901282249, v*w=0.3602300901282249
f=football_., v=1, w=0.2000217427554818, v*w=0.2000217427554818
f=of_the, v=1, w=0.17442494991800078, v*w=0.17442494991800078
f=member, v=1, w=0.14282290553525592, v*w=0.14282290553525592
f=playing_football, v=1, w=0.10085355546878827, v*w=0.10085355546878827
f=player, v=1, w=0.08797709909262941, v*w=0.08797709909262941
f=member_of, v=1, w=0.08209350358278783, v*w=0.08209350358278783
f=People_playing, v=1, w=0.08067233704451515, v*w=0.08067233704451515
f=opposing, v=1, w=0.028740415618450456, v*w=0.028740415618450456
f=tackles, v=1, w=0, v*w=0
f=player_tackles, v=1, w=0, v*w=0
f=tackles_an, v=1, w=0, v*w=0
f=an_member, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=A_football, v=1, w=-0.06470088790729644, v*w=-0.06470088790729644
f=the_opposing, v=1, w=-0.06852692802169297, v*w=-0.06852692802169297
f=opposing_team, v=1, w=-0.0706765470297568, v*w=-0.0706765470297568
f=football_player, v=1, w=-0.10938818831908327, v*w=-0.10938818831908327
f=playing, v=1, w=-0.13778360371493695, v*w=-0.13778360371493695
f=team, v=1, w=-0.21981302758538745, v*w=-0.21981302758538745
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=an, v=1, w=-0.32472737342345664, v*w=-0.32472737342345664
f=team_., v=1, w=-0.33100040402920733, v*w=-0.33100040402920733
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
f=word_mismatch, v=9, w=-0.04797307969310231, v*w=-0.43175771723792084
f=the, v=1, w=-0.5978066899968455, v*w=-0.5978066899968455
================================================================================
P: An older gentleman speaking at a podium .
H: A man giving a speech
label=0, predicted=1, wrong
f=length_diff, v=3, w=0.2283268767017618, v*w=0.6849806301052854
f=lexical_overlap, v=1, w=0.3830654707424352, v*w=0.3830654707424352
f=A_man, v=1, w=0.324577417131331, v*w=0.324577417131331
f=speaking, v=1, w=0.2854808230678779, v*w=0.2854808230678779
f=a_speech, v=1, w=0.2368959685325417, v*w=0.2368959685325417
f=man_giving, v=1, w=0.23498235792852806, v*w=0.23498235792852806
f=gentleman, v=1, w=0.16604130084049315, v*w=0.16604130084049315
f=speech, v=1, w=0.14095638204308839, v*w=0.14095638204308839
f=giving_a, v=1, w=0.08555417557250798, v*w=0.08555417557250798
f=giving, v=1, w=0.04582020510135638, v*w=0.04582020510135638
f=older_gentleman, v=1, w=0.04031564907314478, v*w=0.04031564907314478
f=podium_., v=1, w=0.023018678436429234, v*w=0.023018678436429234
